IDApp;Libellé Appellation ;Segment
54;Monbazillac;AOP
55;Montagne-Saint-Emilion;AOP
205;Montagny;AOP
206;Monthélie;AOP
94;Montlouis-sur-Loire;AOP
207;Montrachet;AOP
56;Montravel;AOP
208;Morey-Saint-Denis;AOP
209;Morgon;AOP
690;Moselle;AOP
210;Moulin-à-Vent;AOP
57;Moulis ou Moulis-en-Médoc;AOP
97;Muscadet;AOP
98;Muscadet Coteaux de la Loire;AOP
99;Muscadet Côtes de Grandlieu;AOP
100;Muscadet Sèvre et Maine;AOP
308;Muscat de Beaumes-de-Venise;AOP
304;Muscat de Frontignan;AOP
309;Muscat de Lunel;AOP
310;Muscat de Mireval;AOP
307;Muscat de Rivesaltes;AOP
311;Muscat de Saint-Jean-de-Minervois;AOP
312;Muscat du Cap Corse;AOP
211;Musigny;AOP
212;Nuits-Saint-Georges;AOP
600;Orléans;AOP
598;Orléans-Cléry;AOP
49;Pacherenc du Vic-Bilh;AOP
298;Palette;AOP
299;Patrimonio;AOP
59;Pauillac;AOP
60;Pécharmant;AOP
213;Pernand-Vergelesses;AOP
61;Pessac-Léognan;AOP
214;Petit Chablis;AOP
733;Picpoul de Pinet;AOP
290;Pierrevert;AOP
329;Pineau Charentais;AOP
329;Pineau des Charentes;AOP
62;Pomerol;AOP
215;Pommard;AOP
216;Pouilly-Fuissé;AOP
101;Pouilly-Fumé;AOP
217;Pouilly-Loché;AOP
102;Pouilly-sur-Loire;AOP
218;Pouilly-Vinzelles;AOP
64;Premières Côtes de Bordeaux;AOP
65;Puisseguin-Saint-Emilion;AOP
219;Puligny-Montrachet;AOP
103;Quarts de Chaume;AOP
104;Quincy;AOP
313;Rasteau;AOP
220;Régnié;AOP
105;Reuilly;AOP
221;Richebourg;AOP
314;Rivesaltes;AOP
222;Romanée-Conti;AOP
223;Romanée-Saint-Vivant;AOP
106;Rosé d'Anjou;AOP
107;Rosé de Loire;AOP
7;Rosé des Riceys;AOP
66;Rosette;AOP
234;Roussette de Savoie;AOP
675;Roussette du Bugey;AOP
224;Ruchottes-Chambertin;AOP
225;Rully;AOP
226;Saint-Amour;AOP
227;Saint-Aubin;AOP
478;Saint-Bris;AOP
263;Saint-Chinian;AOP
72;Sainte-Croix-du-Mont;AOP
73;Sainte-Foy-Bordeaux;AOP
67;Saint-Emilion;AOP
68;Saint-Emilion grand cru;AOP
69;Saint-Estèphe;AOP
70;Saint-Georges-Saint-Emilion;AOP
284;Saint-Joseph;AOP
71;Saint-Julien;AOP
741;Saint-Mont;AOP
108;Saint-Nicolas-de-Bourgueil;AOP
285;Saint-Péray;AOP
677;Saint-Pourçain;AOP
228;Saint-Romain;AOP
686;Saint-Sardos;AOP
229;Saint-Véran;AOP
109;Sancerre;AOP
230;Santenay;AOP
110;Saumur;AOP
122;Saumur-Champigny;AOP
74;Saussignac;AOP
75;Sauternes;AOP
112;Savennières;AOP
1033;Savennières Coulée de Serrant;AOP
1034;Savennières Roche aux Moines;AOP
231;Savigny-lès-Beaune;AOP
235;Savoie;AOP
232;Seyssel;AOP
287;Tavel;AOP
1042;Terrasses du Larzac;AOP
113;Touraine;AOP
123;Touraine Noble Joué;AOP
1020;Tursan;AOP
288;Vacqueyras;AOP
564;Valençay;AOP
278;Ventoux;AOP
1;Vin d'Alsace;AOP
293;Vin de Bellet;AOP
300;Vin de Corse;AOP
304;Vin de Frontignan;AOP
235;Vin de Savoie;AOP
1130;Vinsobres;AOP
246;Viré-Clessé;AOP
240;Volnay;AOP
241;Vosne-Romanée;AOP
242;Vougeot;AOP
119;Vouvray;AOP
144;BOUGOGNE PASSE TOUT GRAINS ;AOP
1027;BOURGOGJNE GRAND ORDINAIRE ;AOP
1027;BOURGOGNE GRAND ORDINAIRE OU BOURGOGNE ORDINAIRE ;AOP
141;BOURGOGNE MOUSSEUXA ;AOP
144;BOURGOGNE PASSE TOUT GRANS ;AOP
144;BOURGOGNE PASSE TOUTG RAINS ;AOP
144;BOURGOGNE PASSETOUTGRAINS ;AOP
1027;COTEAUX BOURGUIGNON ;AOP
275;COTES DU RHNE ;AOP
175;CREMAND DE BOURGOGNE ;AOP
175;CREMANT DE  BOURGOGNE ;AOP
176;CREMENT DU JURA ;AOP
234;ROUSSETTEDE SAVOIE ;AOP
285;SAINT PRAY ;AOP
235;VIN DE SAVOIE  OU SAVOIE  ;AOP
235;VIN DE SAVOIE  OUSAVOIE  ;AOP
